Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OrangeHRM,Chrome 118.0.0.0,,,2023-11-10 08:31:37,2023-11-10 09:04:32,32m - 54.913s,FAILED
,,,,,,,
Test Cases/OrangeHRM-About-Page,Chrome 118.0.0.0,,,2023-11-10 08:31:37,2023-11-10 08:31:53,16.522s,PASSED
"callTestCase(findTestCase(""OrangeHRM-Login""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-11-10 08:31:37,2023-11-10 08:31:52,14.381s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_About""))",Chrome 118.0.0.0,,,2023-11-10 08:31:52,2023-11-10 08:31:52,0.473s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OrangeHRM/h6_About""), ""About"")",Chrome 118.0.0.0,,,2023-11-10 08:31:52,2023-11-10 08:31:53,0.878s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-10 08:31:53,2023-11-10 08:31:53,0.340s,PASSED
,,,,,,,
Test Cases/OrangeHRM-Approve-Leave,Chrome 118.0.0.0,,,2023-11-10 08:34:28,2023-11-10 08:35:27,59.190s,FAILED
"callTestCase(findTestCase(""OrangeHRM-View-Leave-List""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-11-10 08:34:28,2023-11-10 08:34:43,14.611s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OrangeHRM/button_Approve""), ""Approve"")",Chrome 118.0.0.0,,,2023-11-10 08:34:43,2023-11-10 08:35:27,44.560s,FAILED
,,,,,,,
Test Cases/OrangeHRM-Customer-Support,Chrome 118.0.0.0,,,2023-11-10 08:35:27,2023-11-10 08:35:41,13.838s,PASSED
"callTestCase(findTestCase(""OrangeHRM-Login""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-11-10 08:35:28,2023-11-10 08:35:39,11.788s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Support""))",Chrome 118.0.0.0,,,2023-11-10 08:35:39,2023-11-10 08:35:40,0.854s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/help/support"")",Chrome 118.0.0.0,,,2023-11-10 08:35:40,2023-11-10 08:35:41,0.414s,PASSED
