Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA Healthcare Service,Chrome 118.0.5993.118,,,2023-11-10 09:06:05,2023-11-10 09:20:18,14m - 13.008s,FAILED
,,,,,,,
Test Cases/CURA-LogIn,Chrome 118.0.5993.118,,,2023-11-10 09:06:05,2023-11-10 09:06:17,12.113s,PASSED
"openBrowser("""")",Chrome 118.0.5993.118,,,2023-11-10 09:06:06,2023-11-10 09:06:11,5.530s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 118.0.5993.118,,,2023-11-10 09:06:11,2023-11-10 09:06:14,3.220s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/amenu-toggle""))",Chrome 118.0.5993.118,,,2023-11-10 09:06:14,2023-11-10 09:06:15,0.491s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Login""))",Chrome 118.0.5993.118,,,2023-11-10 09:06:15,2023-11-10 09:06:15,0.430s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 118.0.5993.118,,,2023-11-10 09:06:15,2023-11-10 09:06:16,0.354s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 118.0.5993.118,,,2023-11-10 09:06:16,2023-11-10 09:06:16,0.434s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 118.0.5993.118,,,2023-11-10 09:06:16,2023-11-10 09:06:17,0.577s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_fa fa-bars""))",Chrome 118.0.5993.118,,,2023-11-10 09:06:17,2023-11-10 09:06:17,0.239s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Logout""), ""Logout"")",Chrome 118.0.5993.118,,,2023-11-10 09:06:17,2023-11-10 09:06:17,0.186s,PASSED
,,,,,,,
Test Cases/CURA-LogOut,Chrome 118.0.5993.118,,,2023-11-10 09:06:17,2023-11-10 09:06:26,8.746s,PASSED
